Customer Name,Marketer,Region,Status
One Health Pharma,Abdul Moeez,Karachi,Undeveloped
Organics Pharma,Abdul Moeez,Karachi,Developed
Opal Laboratories (Pvt) Ltd.,Abdul Moeez,Karachi,Developed
Ophth-Pharma (Pvt) Ltd.,Abdul Moeez,Karachi,Developed
Otsuka Pakistan Ltd,Aaira Khan,Karachi,Undeveloped
Pakistan Pharmaceutical Products (Pvt) Ltd.,Abdul Moeez,Karachi,Developed
Palpex Pharmaceuticals (Pvt) Ltd.,Hamza Ali Khan,Karachi,Developed
Pinnacle Biotech,Abdul Moeez,Karachi,Developed
Pfizer Pakistan Ltd.,Abdul Moeez,Karachi,Undeveloped
Pharmatec Pakistan (Pvt) Ltd.,Abdul Moeez,Karachi,Undeveloped
PharmEvo (Pvt) Ltd.,Hamza Ali Khan,Karachi,Undeveloped
Platinum Pharmaceuticals (Pvt) Ltd.,Hamza Ali Khan,Karachi,Developed
Pliva Pakistan (Pvt) Ltd.,Abdul Moeez,Karachi,Developed
Ray Pharma (Pvt) Ltd.,Abdul Moeez,Karachi,Developed
Reckitt Benckiser Pakistan Ltd.,Abdul Moeez,Karachi,Undeveloped
Regent Laboratories,Aaira Khan,Karachi,Undeveloped
Safe Pharma,Abdul Moeez,Karachi,Developed
S Ather n Brother,Abdul Moeez,Karachi,Developed
S.J & G. Fazul Ellahie (Pvt) Ltd.,Aaira Khan,Karachi,Developed
Saakh Pharma (Pvt) Ltd.,Mashood Ahmad,Karachi,Undeveloped
Sami Pharmaceuticals (Pvt) Ltd.,Hamza Ali Khan,Karachi,Developed
Hoechast (ex-sanofi),Abdul Moeez,Karachi,Undeveloped
Sante (Pvt) Ltd.,Aaira Khan,Karachi,Undeveloped
Scilife Pharma (Pvt) Ltd.,Aaira Khan,Karachi,Developed
Semos Pharmaceuticals (Pvt) Ltd.,Abdul Moeez,Karachi,Developed
SOIS Life Sciences,Abdul Moeez,Karachi,Undeveloped
Surge Laboratories Pvt Ltd,Hamza Ali Khan,Karachi,Developed
Swiss Pharmaceuticals (Pvt) Ltd.,Imran Khan,Karachi,Developed
Tabros Pharma (Pvt) Ltd.,Abdul Moeez,Karachi,Developed
The Searle Company Limited,Aaira Khan,Karachi,Undeveloped
Vetz Pharmaceutical Pvt.ltd,,Karachi,Developed
W.Woodward Pakistan Ltd.,Abdul Moeez,Karachi,Undeveloped
Winthrox Laboratories,Abdul Moeez,Karachi,Developed
Zanctok Pharmaceutical Laboratories,Hamza Ali Khan,Karachi,Developed
Zafa Pharmaceutical Lab (Pvt) Ltd.,Abdul Moeez,Karachi,Developed
